          10245	OH
31.392000       47.088000       19.620000
33.354000       49.050000       19.620000
35.316000       47.088000       19.620000
37.278000       49.050000       19.620000
39.240000       47.088000       19.620000
41.202000       49.050000       19.620000
43.164000       47.088000       19.620000
45.126000       49.050000       19.620000
47.088000       47.088000       19.620000
49.050000       49.050000       19.620000
51.012000       47.088000       19.620000
52.974000       49.050000       19.620000
54.936000       47.088000       19.620000
56.898000       49.050000       19.620000
58.860000       47.088000       19.620000
60.822000       49.050000       19.620000
62.784000       47.088000       19.620000
64.746000       49.050000       19.620000
66.708000       47.088000       19.620000
31.392000       51.012000       19.620000
33.354000       52.974000       19.620000
35.316000       51.012000       19.620000
37.278000       52.974000       19.620000
39.240000       51.012000       19.620000
41.202000       52.974000       19.620000
43.164000       51.012000       19.620000
45.126000       52.974000       19.620000
47.088000       51.012000       19.620000
49.050000       52.974000       19.620000
51.012000       51.012000       19.620000
52.974000       52.974000       19.620000
54.936000       51.012000       19.620000
56.898000       52.974000       19.620000
58.860000       51.012000       19.620000
60.822000       52.974000       19.620000
62.784000       51.012000       19.620000
35.316000       54.936000       19.620000
37.278000       56.898000       19.620000
39.240000       54.936000       19.620000
41.202000       56.898000       19.620000
43.164000       54.936000       19.620000
45.126000       56.898000       19.620000
47.088000       54.936000       19.620000
49.050000       56.898000       19.620000
51.012000       54.936000       19.620000
52.974000       56.898000       19.620000
54.936000       54.936000       19.620000
56.898000       56.898000       19.620000
58.860000       54.936000       19.620000
39.240000       58.860000       19.620000
41.202000       60.822000       19.620000
43.164000       58.860000       19.620000
45.126000       60.822000       19.620000
47.088000       58.860000       19.620000
49.050000       60.822000       19.620000
51.012000       58.860000       19.620000
52.974000       60.822000       19.620000
54.936000       58.860000       19.620000
43.164000       62.784000       19.620000
45.126000       64.746000       19.620000
47.088000       62.784000       19.620000
49.050000       64.746000       19.620000
51.012000       62.784000       19.620000
47.088000       66.708000       19.620000
45.126000       25.506000       23.544000
47.088000       23.544000       23.544000
49.050000       25.506000       23.544000
41.202000       29.430000       23.544000
43.164000       27.468000       23.544000
45.126000       29.430000       23.544000
47.088000       27.468000       23.544000
49.050000       29.430000       23.544000
51.012000       27.468000       23.544000
52.974000       29.430000       23.544000
37.278000       33.354000       23.544000
39.240000       31.392000       23.544000
41.202000       33.354000       23.544000
43.164000       31.392000       23.544000
45.126000       33.354000       23.544000
47.088000       31.392000       23.544000
49.050000       33.354000       23.544000
51.012000       31.392000       23.544000
