          6323	THH
27.414100       27.414100        3.916300
29.372250       29.372250        3.916300
31.330400       27.414100        3.916300
33.288550       29.372250        3.916300
35.246700       27.414100        3.916300
27.414100       31.330400        3.916300
29.372250       33.288550        3.916300
31.330400       31.330400        3.916300
33.288550       33.288550        3.916300
35.246700       31.330400        3.916300
27.414100       35.246700        3.916300
31.330400       35.246700        3.916300
35.246700       35.246700        3.916300
19.581500       19.581500        7.832600
21.539650       21.539650        7.832600
23.497800       19.581500        7.832600
25.455950       21.539650        7.832600
27.414100       19.581500        7.832600
29.372250       21.539650        7.832600
31.330400       19.581500        7.832600
33.288550       21.539650        7.832600
35.246700       19.581500        7.832600
37.204850       21.539650        7.832600
39.163000       19.581500        7.832600
41.121150       21.539650        7.832600
43.079300       19.581500        7.832600
19.581500       23.497800        7.832600
21.539650       25.455950        7.832600
23.497800       23.497800        7.832600
25.455950       25.455950        7.832600
27.414100       23.497800        7.832600
29.372250       25.455950        7.832600
31.330400       23.497800        7.832600
33.288550       25.455950        7.832600
35.246700       23.497800        7.832600
37.204850       25.455950        7.832600
39.163000       23.497800        7.832600
41.121150       25.455950        7.832600
43.079300       23.497800        7.832600
19.581500       27.414100        7.832600
21.539650       29.372250        7.832600
23.497800       27.414100        7.832600
25.455950       29.372250        7.832600
27.414100       27.414100        7.832600
29.372250       29.372250        7.832600
31.330400       27.414100        7.832600
33.288550       29.372250        7.832600
35.246700       27.414100        7.832600
37.204850       29.372250        7.832600
39.163000       27.414100        7.832600
41.121150       29.372250        7.832600
43.079300       27.414100        7.832600
19.581500       31.330400        7.832600
21.539650       33.288550        7.832600
23.497800       31.330400        7.832600
25.455950       33.288550        7.832600
27.414100       31.330400        7.832600
29.372250       33.288550        7.832600
31.330400       31.330400        7.832600
33.288550       33.288550        7.832600
35.246700       31.330400        7.832600
37.204850       33.288550        7.832600
39.163000       31.330400        7.832600
41.121150       33.288550        7.832600
43.079300       31.330400        7.832600
19.581500       35.246700        7.832600
21.539650       37.204850        7.832600
23.497800       35.246700        7.832600
25.455950       37.204850        7.832600
27.414100       35.246700        7.832600
29.372250       37.204850        7.832600
31.330400       35.246700        7.832600
33.288550       37.204850        7.832600
35.246700       35.246700        7.832600
37.204850       37.204850        7.832600
39.163000       35.246700        7.832600
41.121150       37.204850        7.832600
43.079300       35.246700        7.832600
19.581500       39.163000        7.832600
21.539650       41.121150        7.832600
23.497800       39.163000        7.832600
25.455950       41.121150        7.832600
27.414100       39.163000        7.832600
29.372250       41.121150        7.832600
31.330400       39.163000        7.832600
33.288550       41.121150        7.832600
35.246700       39.163000        7.832600
37.204850       41.121150        7.832600
39.163000       39.163000        7.832600
41.121150       41.121150        7.832600
43.079300       39.163000        7.832600
19.581500       43.079300        7.832600
23.497800       43.079300        7.832600
27.414100       43.079300        7.832600
31.330400       43.079300        7.832600
35.246700       43.079300        7.832600
39.163000       43.079300        7.832600
43.079300       43.079300        7.832600
11.748900       11.748900       11.748900
13.707050       13.707050       11.748900
15.665200       11.748900       11.748900
17.623350       13.707050       11.748900
19.581500       11.748900       11.748900
21.539650       13.707050       11.748900
23.497800       11.748900       11.748900
25.455950       13.707050       11.748900
27.414100       11.748900       11.748900
29.372250       13.707050       11.748900
31.330400       11.748900       11.748900
33.288550       13.707050       11.748900
35.246700       11.748900       11.748900
37.204850       13.707050       11.748900
39.163000       11.748900       11.748900
41.121150       13.707050       11.748900
43.079300       11.748900       11.748900
45.037450       13.707050       11.748900
46.995600       11.748900       11.748900
48.953750       13.707050       11.748900
50.911900       11.748900       11.748900
11.748900       15.665200       11.748900
13.707050       17.623350       11.748900
15.665200       15.665200       11.748900
17.623350       17.623350       11.748900
19.581500       15.665200       11.748900
21.539650       17.623350       11.748900
23.497800       15.665200       11.748900
25.455950       17.623350       11.748900
27.414100       15.665200       11.748900
29.372250       17.623350       11.748900
31.330400       15.665200       11.748900
33.288550       17.623350       11.748900
35.246700       15.665200       11.748900
37.204850       17.623350       11.748900
39.163000       15.665200       11.748900
41.121150       17.623350       11.748900
43.079300       15.665200       11.748900
45.037450       17.623350       11.748900
46.995600       15.665200       11.748900
48.953750       17.623350       11.748900
50.911900       15.665200       11.748900
11.748900       19.581500       11.748900
13.707050       21.539650       11.748900
15.665200       19.581500       11.748900
17.623350       21.539650       11.748900
19.581500       19.581500       11.748900
21.539650       21.539650       11.748900
23.497800       19.581500       11.748900
25.455950       21.539650       11.748900
27.414100       19.581500       11.748900
29.372250       21.539650       11.748900
31.330400       19.581500       11.748900
