          12479	SP
56.898000       37.278000       11.772000
58.860000       35.316000       11.772000
60.822000       37.278000       11.772000
17.658000       41.202000       11.772000
19.620000       39.240000       11.772000
21.582000       41.202000       11.772000
23.544000       39.240000       11.772000
25.506000       41.202000       11.772000
27.468000       39.240000       11.772000
29.430000       41.202000       11.772000
31.392000       39.240000       11.772000
33.354000       41.202000       11.772000
35.316000       39.240000       11.772000
37.278000       41.202000       11.772000
39.240000       39.240000       11.772000
41.202000       41.202000       11.772000
43.164000       39.240000       11.772000
45.126000       41.202000       11.772000
47.088000       39.240000       11.772000
49.050000       41.202000       11.772000
51.012000       39.240000       11.772000
52.974000       41.202000       11.772000
54.936000       39.240000       11.772000
56.898000       41.202000       11.772000
58.860000       39.240000       11.772000
60.822000       41.202000       11.772000
17.658000       45.126000       11.772000
19.620000       43.164000       11.772000
21.582000       45.126000       11.772000
23.544000       43.164000       11.772000
25.506000       45.126000       11.772000
27.468000       43.164000       11.772000
29.430000       45.126000       11.772000
31.392000       43.164000       11.772000
33.354000       45.126000       11.772000
35.316000       43.164000       11.772000
37.278000       45.126000       11.772000
39.240000       43.164000       11.772000
41.202000       45.126000       11.772000
43.164000       43.164000       11.772000
45.126000       45.126000       11.772000
47.088000       43.164000       11.772000
49.050000       45.126000       11.772000
51.012000       43.164000       11.772000
52.974000       45.126000       11.772000
54.936000       43.164000       11.772000
56.898000       45.126000       11.772000
58.860000       43.164000       11.772000
60.822000       45.126000       11.772000
19.620000       47.088000       11.772000
21.582000       49.050000       11.772000
23.544000       47.088000       11.772000
25.506000       49.050000       11.772000
27.468000       47.088000       11.772000
29.430000       49.050000       11.772000
31.392000       47.088000       11.772000
33.354000       49.050000       11.772000
35.316000       47.088000       11.772000
37.278000       49.050000       11.772000
39.240000       47.088000       11.772000
41.202000       49.050000       11.772000
43.164000       47.088000       11.772000
45.126000       49.050000       11.772000
47.088000       47.088000       11.772000
49.050000       49.050000       11.772000
51.012000       47.088000       11.772000
52.974000       49.050000       11.772000
54.936000       47.088000       11.772000
56.898000       49.050000       11.772000
58.860000       47.088000       11.772000
21.582000       52.974000       11.772000
23.544000       51.012000       11.772000
25.506000       52.974000       11.772000
27.468000       51.012000       11.772000
29.430000       52.974000       11.772000
31.392000       51.012000       11.772000
33.354000       52.974000       11.772000
35.316000       51.012000       11.772000
37.278000       52.974000       11.772000
39.240000       51.012000       11.772000
41.202000       52.974000       11.772000
43.164000       51.012000       11.772000
45.126000       52.974000       11.772000
47.088000       51.012000       11.772000
49.050000       52.974000       11.772000
51.012000       51.012000       11.772000
52.974000       52.974000       11.772000
54.936000       51.012000       11.772000
56.898000       52.974000       11.772000
23.544000       54.936000       11.772000
25.506000       56.898000       11.772000
27.468000       54.936000       11.772000
29.430000       56.898000       11.772000
31.392000       54.936000       11.772000
33.354000       56.898000       11.772000
35.316000       54.936000       11.772000
37.278000       56.898000       11.772000
39.240000       54.936000       11.772000
41.202000       56.898000       11.772000
43.164000       54.936000       11.772000
45.126000       56.898000       11.772000
