          711	OH
17.658000       29.430000       19.620000
19.620000       27.468000       19.620000
21.582000       29.430000       19.620000
23.544000       27.468000       19.620000
25.506000       29.430000       19.620000
27.468000       27.468000       19.620000
29.430000       29.430000       19.620000
31.392000       27.468000       19.620000
11.772000       31.392000       19.620000
15.696000       31.392000       19.620000
19.620000       31.392000       19.620000
23.544000       31.392000       19.620000
27.468000       31.392000       19.620000
13.734000        9.810000       23.544000
15.696000        7.848000       23.544000
17.658000        9.810000       23.544000
19.620000        7.848000       23.544000
21.582000        9.810000       23.544000
23.544000        7.848000       23.544000
25.506000        9.810000       23.544000
 9.810000       13.734000       23.544000
11.772000       11.772000       23.544000
13.734000       13.734000       23.544000
15.696000       11.772000       23.544000
17.658000       13.734000       23.544000
19.620000       11.772000       23.544000
21.582000       13.734000       23.544000
23.544000       11.772000       23.544000
25.506000       13.734000       23.544000
27.468000       11.772000       23.544000
29.430000       13.734000       23.544000
 7.848000       15.696000       23.544000
 9.810000       17.658000       23.544000
11.772000       15.696000       23.544000
13.734000       17.658000       23.544000
15.696000       15.696000       23.544000
17.658000       17.658000       23.544000
19.620000       15.696000       23.544000
21.582000       17.658000       23.544000
23.544000       15.696000       23.544000
25.506000       17.658000       23.544000
27.468000       15.696000       23.544000
29.430000       17.658000       23.544000
31.392000       15.696000       23.544000
 7.848000       19.620000       23.544000
 9.810000       21.582000       23.544000
11.772000       19.620000       23.544000
13.734000       21.582000       23.544000
15.696000       19.620000       23.544000
17.658000       21.582000       23.544000
19.620000       19.620000       23.544000
21.582000       21.582000       23.544000
23.544000       19.620000       23.544000
25.506000       21.582000       23.544000
27.468000       19.620000       23.544000
29.430000       21.582000       23.544000
31.392000       19.620000       23.544000
 7.848000       23.544000       23.544000
 9.810000       25.506000       23.544000
11.772000       23.544000       23.544000
13.734000       25.506000       23.544000
15.696000       23.544000       23.544000
17.658000       25.506000       23.544000
19.620000       23.544000       23.544000
21.582000       25.506000       23.544000
23.544000       23.544000       23.544000
25.506000       25.506000       23.544000
27.468000       23.544000       23.544000
29.430000       25.506000       23.544000
31.392000       23.544000       23.544000
11.772000       27.468000       23.544000
13.734000       29.430000       23.544000
15.696000       27.468000       23.544000
17.658000       29.430000       23.544000
19.620000       27.468000       23.544000
21.582000       29.430000       23.544000
23.544000       27.468000       23.544000
25.506000       29.430000       23.544000
27.468000       27.468000       23.544000
15.696000       31.392000       23.544000
19.620000       31.392000       23.544000
23.544000       31.392000       23.544000
17.658000        9.810000       27.468000
19.620000        7.848000       27.468000
21.582000        9.810000       27.468000
13.734000       13.734000       27.468000
15.696000       11.772000       27.468000
17.658000       13.734000       27.468000
19.620000       11.772000       27.468000
21.582000       13.734000       27.468000
23.544000       11.772000       27.468000
25.506000       13.734000       27.468000
 9.810000       17.658000       27.468000
11.772000       15.696000       27.468000
13.734000       17.658000       27.468000
15.696000       15.696000       27.468000
17.658000       17.658000       27.468000
19.620000       15.696000       27.468000
21.582000       17.658000       27.468000
23.544000       15.696000       27.468000
25.506000       17.658000       27.468000
27.468000       15.696000       27.468000
29.430000       17.658000       27.468000
 7.848000       19.620000       27.468000
 9.810000       21.582000       27.468000
11.772000       19.620000       27.468000
13.734000       21.582000       27.468000
15.696000       19.620000       27.468000
17.658000       21.582000       27.468000
19.620000       19.620000       27.468000
21.582000       21.582000       27.468000
23.544000       19.620000       27.468000
25.506000       21.582000       27.468000
27.468000       19.620000       27.468000
29.430000       21.582000       27.468000
31.392000       19.620000       27.468000
11.772000       23.544000       27.468000
13.734000       25.506000       27.468000
15.696000       23.544000       27.468000
17.658000       25.506000       27.468000
19.620000       23.544000       27.468000
21.582000       25.506000       27.468000
23.544000       23.544000       27.468000
25.506000       25.506000       27.468000
27.468000       23.544000       27.468000
15.696000       27.468000       27.468000
17.658000       29.430000       27.468000
19.620000       27.468000       27.468000
21.582000       29.430000       27.468000
23.544000       27.468000       27.468000
19.620000       31.392000       27.468000
17.658000       13.734000       31.392000
19.620000       11.772000       31.392000
21.582000       13.734000       31.392000
13.734000       17.658000       31.392000
15.696000       15.696000       31.392000
17.658000       17.658000       31.392000
