        4096	DH
55.502077      71.513216      70.464916
55.502077      74.002572      71.902145
57.869595      74.771825      70.464916
48.399525      56.758681      67.590456
48.399525      59.248036      69.027686
50.767042      60.017289      67.590456
50.767042      62.506645      69.027686
53.134560      63.275898      67.590456
53.134560      65.765253      69.027686
55.502077      66.534506      67.590456
55.502077      69.023861      69.027686
57.869595      69.793114      67.590456
57.869595      72.282469      69.027686
60.237112      73.051722      67.590456
60.237112      75.541078      69.027686
48.399525      51.779971      64.715996
48.399525      54.269326      66.153226
50.767042      55.038579      64.715996
50.767042      57.527934      66.153226
53.134560      58.297187      64.715996
53.134560      60.786543      66.153226
55.502077      61.555796      64.715996
55.502077      64.045151      66.153226
57.869595      64.814404      64.715996
57.869595      67.303759      66.153226
60.237112      68.073012      64.715996
60.237112      70.562367      66.153226
48.399525      49.290616      63.278766
50.767042      50.059869      61.841536
50.767042      52.549224      63.278766
53.134560      53.318477      61.841536
53.134560      55.807832      63.278766
55.502077      56.577085      61.841536
55.502077      59.066440      63.278766
57.869595      59.835693      61.841536
57.869595      62.325049      63.278766
60.237112      63.094302      61.841536
60.237112      65.583657      63.278766
53.134560      50.829122      60.404306
55.502077      51.598375      58.967076
55.502077      54.087730      60.404306
57.869595      54.856983      58.967076
57.869595      57.346338      60.404306
60.237112      58.115591      58.967076
60.237112      60.604947      60.404306
57.869595      52.367628      57.529847
60.237112      53.136881      56.092617
60.237112      55.626236      57.529847
48.399525      76.673523      73.339375
48.399525      71.694812      70.464916
48.399525      74.184168      71.902145
50.767042      74.953421      70.464916
50.767042      77.442776      71.902145
53.134560      78.212029      70.464916
48.399525      66.716102      67.590456
48.399525      69.205457      69.027686
50.767042      69.974710      67.590456
50.767042      72.464065      69.027686
53.134560      73.233318      67.590456
53.134560      75.722674      69.027686
55.502077      76.491927      67.590456
55.502077      78.981282      69.027686
48.399525      61.737392      64.715996
48.399525      64.226747      66.153226
50.767042      64.996000      64.715996
50.767042      67.485355      66.153226
53.134560      68.254608      64.715996
