          19	RD
 7.887240        7.887240        3.963240
 5.925240        5.925240        7.887240
 7.887240        3.963240        7.887240
 9.849240        5.925240        7.887240
 3.963240        7.887240        7.887240
 5.925240        9.849240        7.887240
 7.887240        7.887240        7.887240
 9.849240        9.849240        7.887240
11.811240        7.887240        7.887240
 7.887240       11.811240        7.887240
 7.887240        7.887240       11.811240
 7.887240        5.925240        5.925240
 5.925240        7.887240        5.925240
 7.887240        9.849240        5.925240
 9.849240        7.887240        5.925240
 7.887240        5.925240        9.849240
 5.925240        7.887240        9.849240
 7.887240        9.849240        9.849240
 9.849240        7.887240        9.849240
