        2056	IH
23.036329      19.008468      31.659709
24.499535      16.994537      33.096938
23.036329      14.980607      31.659709
24.499535      12.966676      33.096938
21.573123      16.994537      30.222479
31.815567      10.952745      34.534168
33.278773       8.938815      35.971398
28.889154      14.980607      31.659709
30.352361      12.966676      33.096938
25.962742      19.008468      28.785249
27.425948      16.994537      30.222479
24.499535      21.022399      27.348019
21.573123      21.022399      41.720318
20.109917      19.008468      43.157548
17.742399      19.777721      41.720318
19.205605      21.791652      40.283088
16.838088      22.560905      38.845858
15.374882      20.546974      40.283088
13.007364      21.316227      38.845858
14.470571      23.330158      37.408628
12.103053      24.099411      35.971398
10.639847      22.085480      37.408628
 8.272329      22.854733      35.971398
 9.735536      24.868664      34.534168
18.646710      16.994537      38.845858
17.183504      14.980607      40.283088
14.815987      15.749860      38.845858
21.573123      21.022399      35.971398
20.109917      19.008468      37.408628
17.742399      19.777721      35.971398
16.279193      17.763790      37.408628
13.911675      18.533043      35.971398
12.448469      16.519113      37.408628
10.080952      17.288366      35.971398
19.205605      21.791652      34.534168
16.838088      22.560905      33.096938
15.374882      20.546974      34.534168
13.007364      21.316227      33.096938
11.544158      19.302296      34.534168
14.470571      23.330158      31.659709
15.720298      12.966676      35.971398
14.257092      10.952745      37.408628
11.889574      11.721998      35.971398
18.646710      16.994537      33.096938
17.183504      14.980607      34.534168
14.815987      15.749860      33.096938
13.352780      13.735929      34.534168
21.573123      21.022399      30.222479
20.109917      19.008468      31.659709
17.742399      19.777721      30.222479
16.279193      17.763790      31.659709
19.205605      21.791652      28.785249
21.573123      21.022399      44.594778
19.205605      21.791652      43.157548
16.838088      22.560905      41.720318
14.470571      23.330158      40.283088
12.103053      24.099411      38.845858
 9.735536      24.868664      37.408628
 7.368018      25.637917      35.971398
20.109917      19.008468      40.283088
18.646710      16.994537      41.720318
16.279193      17.763790      40.283088
21.573123      21.022399      38.845858
19.205605      21.791652      37.408628
17.742399      19.777721      38.845858
15.374882      20.546974      37.408628
13.911675      18.533043      38.845858
11.544158      19.302296      37.408628
16.838088      22.560905      35.971398
14.470571      23.330158      34.534168
13.007364      21.316227      35.971398
10.639847      22.085480      34.534168
 9.176641      20.071549      35.971398
12.103053      24.099411      33.096938
17.183504      14.980607      37.408628
15.720298      12.966676      38.845858
13.352780      13.735929      37.408628
20.109917      19.008468      34.534168
18.646710      16.994537      35.971398
16.279193      17.763790      34.534168
14.815987      15.749860      35.971398
12.448469      16.519113      34.534168
10.985263      14.505182      35.971398
21.573123      21.022399      33.096938
19.205605      21.791652      31.659709
17.742399      19.777721      33.096938
15.374882      20.546974      31.659709
13.911675      18.533043      33.096938
16.838088      22.560905      30.222479
14.257092      10.952745      34.534168
12.793885       8.938815      35.971398
17.183504      14.980607      31.659709
15.720298      12.966676      33.096938
20.109917      19.008468      28.785249
18.646710      16.994537      30.222479
21.573123      21.022399      27.348019
23.036329      23.036329      46.032007
23.036329      25.525684      44.594778
23.036329      28.015040      43.157548
23.036329      30.504395      41.720318
23.036329      32.993750      40.283088
23.036329      35.483105      38.845858
23.036329      37.972460      37.408628
23.036329      40.461816      35.971398
20.668812      23.805582      41.720318
18.301294      24.574835      43.157548
18.301294      27.064191      41.720318
23.036329      23.036329      40.283088
23.036329      25.525684      38.845858
20.668812      26.294937      40.283088
20.668812      28.784293      38.845858
18.301294      29.553546      40.283088
18.301294      32.042901      38.845858
23.036329      28.015040      37.408628
23.036329      30.504395      35.971398
20.668812      31.273648      37.408628
20.668812      33.763003      35.971398
18.301294      34.532256      37.408628
18.301294      37.021611      35.971398
23.036329      32.993750      34.534168
23.036329      35.483105      33.096938
20.668812      36.252358      34.534168
15.933777      25.344088      38.845858
13.566259      26.113341      40.283088
13.566259      28.602697      38.845858
20.668812      23.805582      35.971398
18.301294      24.574835      37.408628
18.301294      27.064191      35.971398
15.933777      27.833444      37.408628
15.933777      30.322799      35.971398
13.566259      31.092052      37.408628
13.566259      33.581407      35.971398
23.036329      23.036329      34.534168
23.036329      25.525684      33.096938
20.668812      26.294937      34.534168
20.668812      28.784293      33.096938
18.301294      29.553546      34.534168
18.301294      32.042901      33.096938
15.933777      32.812154      34.534168
23.036329      28.015040      31.659709
23.036329      30.504395      30.222479
20.668812      31.273648      31.659709
11.198742      26.882594      35.971398
 8.831224      27.651848      37.408628
 8.831224      30.141203      35.971398
15.933777      25.344088      33.096938
13.566259      26.113341      34.534168
13.566259      28.602697      33.096938
11.198742      29.371950      34.534168
20.668812      23.805582      30.222479
18.301294      24.574835      31.659709
18.301294      27.064191      30.222479
15.933777      27.833444      31.659709
23.036329      23.036329      28.785249
23.036329      25.525684      27.348019
20.668812      26.294937      28.785249
23.036329      23.036329      43.157548
20.668812      23.805582      44.594778
20.668812      26.294937      43.157548
23.036329      25.525684      41.720318
23.036329      28.015040      40.283088
20.668812      28.784293      41.720318
20.668812      31.273648      40.283088
23.036329      30.504395      38.845858
23.036329      32.993750      37.408628
20.668812      33.763003      38.845858
20.668812      36.252358      37.408628
23.036329      35.483105      35.971398
23.036329      37.972460      34.534168
20.668812      38.741713      35.971398
18.301294      24.574835      40.283088
15.933777      25.344088      41.720318
15.933777      27.833444      40.283088
23.036329      23.036329      37.408628
20.668812      23.805582      38.845858
20.668812      26.294937      37.408628
18.301294      27.064191      38.845858
18.301294      29.553546      37.408628
15.933777      30.322799      38.845858
15.933777      32.812154      37.408628
23.036329      25.525684      35.971398
23.036329      28.015040      34.534168
20.668812      28.784293      35.971398
20.668812      31.273648      34.534168
18.301294      32.042901      35.971398
18.301294      34.532256      34.534168
15.933777      35.301509      35.971398
23.036329      30.504395      33.096938
23.036329      32.993750      31.659709
20.668812      33.763003      33.096938
13.566259      26.113341      37.408628
11.198742      26.882594      38.845858
11.198742      29.371950      37.408628
