          279	RD
15.735240       15.735240        3.963240
11.811240       11.811240        7.887240
13.773240       13.773240        7.887240
15.735240       11.811240        7.887240
17.697240       13.773240        7.887240
19.659240       11.811240        7.887240
11.811240       15.735240        7.887240
13.773240       17.697240        7.887240
15.735240       15.735240        7.887240
17.697240       17.697240        7.887240
19.659240       15.735240        7.887240
11.811240       19.659240        7.887240
15.735240       19.659240        7.887240
19.659240       19.659240        7.887240
 9.849240        9.849240       11.811240
11.811240        7.887240       11.811240
13.773240        9.849240       11.811240
15.735240        7.887240       11.811240
17.697240        9.849240       11.811240
19.659240        7.887240       11.811240
21.621240        9.849240       11.811240
 7.887240       11.811240       11.811240
 9.849240       13.773240       11.811240
11.811240       11.811240       11.811240
13.773240       13.773240       11.811240
15.735240       11.811240       11.811240
17.697240       13.773240       11.811240
19.659240       11.811240       11.811240
21.621240       13.773240       11.811240
23.583240       11.811240       11.811240
 7.887240       15.735240       11.811240
 9.849240       17.697240       11.811240
11.811240       15.735240       11.811240
13.773240       17.697240       11.811240
15.735240       15.735240       11.811240
17.697240       17.697240       11.811240
19.659240       15.735240       11.811240
21.621240       17.697240       11.811240
23.583240       15.735240       11.811240
 7.887240       19.659240       11.811240
 9.849240       21.621240       11.811240
11.811240       19.659240       11.811240
13.773240       21.621240       11.811240
15.735240       19.659240       11.811240
17.697240       21.621240       11.811240
19.659240       19.659240       11.811240
21.621240       21.621240       11.811240
23.583240       19.659240       11.811240
11.811240       23.583240       11.811240
15.735240       23.583240       11.811240
19.659240       23.583240       11.811240
13.773240        5.925240       15.735240
15.735240        3.963240       15.735240
17.697240        5.925240       15.735240
 9.849240        9.849240       15.735240
11.811240        7.887240       15.735240
13.773240        9.849240       15.735240
15.735240        7.887240       15.735240
17.697240        9.849240       15.735240
19.659240        7.887240       15.735240
21.621240        9.849240       15.735240
 5.925240       13.773240       15.735240
 7.887240       11.811240       15.735240
 9.849240       13.773240       15.735240
11.811240       11.811240       15.735240
13.773240       13.773240       15.735240
15.735240       11.811240       15.735240
17.697240       13.773240       15.735240
19.659240       11.811240       15.735240
21.621240       13.773240       15.735240
23.583240       11.811240       15.735240
25.545240       13.773240       15.735240
 3.963240       15.735240       15.735240
 5.925240       17.697240       15.735240
 7.887240       15.735240       15.735240
 9.849240       17.697240       15.735240
11.811240       15.735240       15.735240
13.773240       17.697240       15.735240
15.735240       15.735240       15.735240
17.697240       17.697240       15.735240
19.659240       15.735240       15.735240
21.621240       17.697240       15.735240
23.583240       15.735240       15.735240
25.545240       17.697240       15.735240
27.507240       15.735240       15.735240
 7.887240       19.659240       15.735240
 9.849240       21.621240       15.735240
11.811240       19.659240       15.735240
13.773240       21.621240       15.735240
15.735240       19.659240       15.735240
17.697240       21.621240       15.735240
19.659240       19.659240       15.735240
21.621240       21.621240       15.735240
23.583240       19.659240       15.735240
11.811240       23.583240       15.735240
13.773240       25.545240       15.735240
15.735240       23.583240       15.735240
17.697240       25.545240       15.735240
19.659240       23.583240       15.735240
15.735240       27.507240       15.735240
 9.849240        9.849240       19.659240
11.811240        7.887240       19.659240
13.773240        9.849240       19.659240
15.735240        7.887240       19.659240
17.697240        9.849240       19.659240
19.659240        7.887240       19.659240
21.621240        9.849240       19.659240
 7.887240       11.811240       19.659240
 9.849240       13.773240       19.659240
11.811240       11.811240       19.659240
13.773240       13.773240       19.659240
15.735240       11.811240       19.659240
17.697240       13.773240       19.659240
19.659240       11.811240       19.659240
21.621240       13.773240       19.659240
23.583240       11.811240       19.659240
 7.887240       15.735240       19.659240
 9.849240       17.697240       19.659240
11.811240       15.735240       19.659240
13.773240       17.697240       19.659240
15.735240       15.735240       19.659240
17.697240       17.697240       19.659240
19.659240       15.735240       19.659240
21.621240       17.697240       19.659240
23.583240       15.735240       19.659240
 7.887240       19.659240       19.659240
 9.849240       21.621240       19.659240
11.811240       19.659240       19.659240
13.773240       21.621240       19.659240
15.735240       19.659240       19.659240
17.697240       21.621240       19.659240
19.659240       19.659240       19.659240
21.621240       21.621240       19.659240
23.583240       19.659240       19.659240
11.811240       23.583240       19.659240
15.735240       23.583240       19.659240
19.659240       23.583240       19.659240
11.811240       11.811240       23.583240
13.773240       13.773240       23.583240
15.735240       11.811240       23.583240
17.697240       13.773240       23.583240
19.659240       11.811240       23.583240
11.811240       15.735240       23.583240
13.773240       17.697240       23.583240
15.735240       15.735240       23.583240
17.697240       17.697240       23.583240
19.659240       15.735240       23.583240
11.811240       19.659240       23.583240
15.735240       19.659240       23.583240
19.659240       19.659240       23.583240
15.735240       15.735240       27.507240
15.735240       13.773240        5.925240
13.773240       15.735240        5.925240
15.735240       17.697240        5.925240
17.697240       15.735240        5.925240
11.811240        9.849240        9.849240
15.735240        9.849240        9.849240
19.659240        9.849240        9.849240
 9.849240       11.811240        9.849240
11.811240       13.773240        9.849240
13.773240       11.811240        9.849240
15.735240       13.773240        9.849240
17.697240       11.811240        9.849240
19.659240       13.773240        9.849240
21.621240       11.811240        9.849240
 9.849240       15.735240        9.849240
11.811240       17.697240        9.849240
13.773240       15.735240        9.849240
15.735240       17.697240        9.849240
17.697240       15.735240        9.849240
19.659240       17.697240        9.849240
21.621240       15.735240        9.849240
 9.849240       19.659240        9.849240
11.811240       21.621240        9.849240
13.773240       19.659240        9.849240
15.735240       21.621240        9.849240
17.697240       19.659240        9.849240
19.659240       21.621240        9.849240
21.621240       19.659240        9.849240
15.735240        5.925240       13.773240
11.811240        9.849240       13.773240
13.773240        7.887240       13.773240
15.735240        9.849240       13.773240
17.697240        7.887240       13.773240
19.659240        9.849240       13.773240
 7.887240       13.773240       13.773240
 9.849240       11.811240       13.773240
11.811240       13.773240       13.773240
13.773240       11.811240       13.773240
15.735240       13.773240       13.773240
17.697240       11.811240       13.773240
19.659240       13.773240       13.773240
21.621240       11.811240       13.773240
23.583240       13.773240       13.773240
 5.925240       15.735240       13.773240
 7.887240       17.697240       13.773240
 9.849240       15.735240       13.773240
11.811240       17.697240       13.773240
13.773240       15.735240       13.773240
15.735240       17.697240       13.773240
17.697240       15.735240       13.773240
19.659240       17.697240       13.773240
21.621240       15.735240       13.773240
23.583240       17.697240       13.773240
25.545240       15.735240       13.773240
 9.849240       19.659240       13.773240
11.811240       21.621240       13.773240
13.773240       19.659240       13.773240
15.735240       21.621240       13.773240
17.697240       19.659240       13.773240
19.659240       21.621240       13.773240
21.621240       19.659240       13.773240
13.773240       23.583240       13.773240
15.735240       25.545240       13.773240
17.697240       23.583240       13.773240
15.735240        5.925240       17.697240
11.811240        9.849240       17.697240
13.773240        7.887240       17.697240
15.735240        9.849240       17.697240
17.697240        7.887240       17.697240
19.659240        9.849240       17.697240
 7.887240       13.773240       17.697240
 9.849240       11.811240       17.697240
11.811240       13.773240       17.697240
13.773240       11.811240       17.697240
15.735240       13.773240       17.697240
17.697240       11.811240       17.697240
19.659240       13.773240       17.697240
21.621240       11.811240       17.697240
23.583240       13.773240       17.697240
 5.925240       15.735240       17.697240
 7.887240       17.697240       17.697240
 9.849240       15.735240       17.697240
11.811240       17.697240       17.697240
13.773240       15.735240       17.697240
15.735240       17.697240       17.697240
17.697240       15.735240       17.697240
19.659240       17.697240       17.697240
21.621240       15.735240       17.697240
23.583240       17.697240       17.697240
25.545240       15.735240       17.697240
 9.849240       19.659240       17.697240
11.811240       21.621240       17.697240
13.773240       19.659240       17.697240
15.735240       21.621240       17.697240
17.697240       19.659240       17.697240
19.659240       21.621240       17.697240
21.621240       19.659240       17.697240
13.773240       23.583240       17.697240
15.735240       25.545240       17.697240
17.697240       23.583240       17.697240
11.811240        9.849240       21.621240
15.735240        9.849240       21.621240
19.659240        9.849240       21.621240
 9.849240       11.811240       21.621240
11.811240       13.773240       21.621240
13.773240       11.811240       21.621240
15.735240       13.773240       21.621240
17.697240       11.811240       21.621240
19.659240       13.773240       21.621240
21.621240       11.811240       21.621240
 9.849240       15.735240       21.621240
11.811240       17.697240       21.621240
13.773240       15.735240       21.621240
15.735240       17.697240       21.621240
17.697240       15.735240       21.621240
19.659240       17.697240       21.621240
21.621240       15.735240       21.621240
 9.849240       19.659240       21.621240
11.811240       21.621240       21.621240
13.773240       19.659240       21.621240
15.735240       21.621240       21.621240
17.697240       19.659240       21.621240
19.659240       21.621240       21.621240
21.621240       19.659240       21.621240
15.735240       13.773240       25.545240
13.773240       15.735240       25.545240
15.735240       17.697240       25.545240
17.697240       15.735240       25.545240
