          1957	RD
27.507240       27.507240        3.963240
23.583240       23.583240        7.887240
25.545240       25.545240        7.887240
27.507240       23.583240        7.887240
29.469240       25.545240        7.887240
31.431240       23.583240        7.887240
23.583240       27.507240        7.887240
25.545240       29.469240        7.887240
27.507240       27.507240        7.887240
29.469240       29.469240        7.887240
31.431240       27.507240        7.887240
23.583240       31.431240        7.887240
27.507240       31.431240        7.887240
31.431240       31.431240        7.887240
19.659240       19.659240       11.811240
21.621240       21.621240       11.811240
23.583240       19.659240       11.811240
25.545240       21.621240       11.811240
27.507240       19.659240       11.811240
29.469240       21.621240       11.811240
31.431240       19.659240       11.811240
33.393240       21.621240       11.811240
35.355240       19.659240       11.811240
19.659240       23.583240       11.811240
21.621240       25.545240       11.811240
23.583240       23.583240       11.811240
25.545240       25.545240       11.811240
27.507240       23.583240       11.811240
29.469240       25.545240       11.811240
31.431240       23.583240       11.811240
33.393240       25.545240       11.811240
35.355240       23.583240       11.811240
19.659240       27.507240       11.811240
21.621240       29.469240       11.811240
23.583240       27.507240       11.811240
25.545240       29.469240       11.811240
27.507240       27.507240       11.811240
29.469240       29.469240       11.811240
31.431240       27.507240       11.811240
33.393240       29.469240       11.811240
35.355240       27.507240       11.811240
19.659240       31.431240       11.811240
21.621240       33.393240       11.811240
23.583240       31.431240       11.811240
25.545240       33.393240       11.811240
27.507240       31.431240       11.811240
29.469240       33.393240       11.811240
31.431240       31.431240       11.811240
33.393240       33.393240       11.811240
35.355240       31.431240       11.811240
19.659240       35.355240       11.811240
23.583240       35.355240       11.811240
27.507240       35.355240       11.811240
31.431240       35.355240       11.811240
35.355240       35.355240       11.811240
15.735240       15.735240       15.735240
17.697240       17.697240       15.735240
19.659240       15.735240       15.735240
21.621240       17.697240       15.735240
23.583240       15.735240       15.735240
25.545240       17.697240       15.735240
27.507240       15.735240       15.735240
29.469240       17.697240       15.735240
31.431240       15.735240       15.735240
33.393240       17.697240       15.735240
35.355240       15.735240       15.735240
37.317240       17.697240       15.735240
39.279240       15.735240       15.735240
15.735240       19.659240       15.735240
17.697240       21.621240       15.735240
19.659240       19.659240       15.735240
21.621240       21.621240       15.735240
23.583240       19.659240       15.735240
25.545240       21.621240       15.735240
27.507240       19.659240       15.735240
29.469240       21.621240       15.735240
31.431240       19.659240       15.735240
33.393240       21.621240       15.735240
35.355240       19.659240       15.735240
37.317240       21.621240       15.735240
39.279240       19.659240       15.735240
15.735240       23.583240       15.735240
17.697240       25.545240       15.735240
19.659240       23.583240       15.735240
21.621240       25.545240       15.735240
23.583240       23.583240       15.735240
25.545240       25.545240       15.735240
27.507240       23.583240       15.735240
29.469240       25.545240       15.735240
31.431240       23.583240       15.735240
33.393240       25.545240       15.735240
35.355240       23.583240       15.735240
37.317240       25.545240       15.735240
39.279240       23.583240       15.735240
15.735240       27.507240       15.735240
17.697240       29.469240       15.735240
19.659240       27.507240       15.735240
21.621240       29.469240       15.735240
23.583240       27.507240       15.735240
25.545240       29.469240       15.735240
27.507240       27.507240       15.735240
29.469240       29.469240       15.735240
31.431240       27.507240       15.735240
33.393240       29.469240       15.735240
35.355240       27.507240       15.735240
37.317240       29.469240       15.735240
39.279240       27.507240       15.735240
15.735240       31.431240       15.735240
17.697240       33.393240       15.735240
19.659240       31.431240       15.735240
21.621240       33.393240       15.735240
23.583240       31.431240       15.735240
25.545240       33.393240       15.735240
27.507240       31.431240       15.735240
29.469240       33.393240       15.735240
31.431240       31.431240       15.735240
33.393240       33.393240       15.735240
35.355240       31.431240       15.735240
37.317240       33.393240       15.735240
39.279240       31.431240       15.735240
15.735240       35.355240       15.735240
17.697240       37.317240       15.735240
19.659240       35.355240       15.735240
21.621240       37.317240       15.735240
23.583240       35.355240       15.735240
25.545240       37.317240       15.735240
27.507240       35.355240       15.735240
29.469240       37.317240       15.735240
31.431240       35.355240       15.735240
33.393240       37.317240       15.735240
35.355240       35.355240       15.735240
37.317240       37.317240       15.735240
39.279240       35.355240       15.735240
15.735240       39.279240       15.735240
19.659240       39.279240       15.735240
23.583240       39.279240       15.735240
27.507240       39.279240       15.735240
31.431240       39.279240       15.735240
35.355240       39.279240       15.735240
39.279240       39.279240       15.735240
17.697240       13.773240       19.659240
19.659240       11.811240       19.659240
21.621240       13.773240       19.659240
23.583240       11.811240       19.659240
25.545240       13.773240       19.659240
27.507240       11.811240       19.659240
29.469240       13.773240       19.659240
31.431240       11.811240       19.659240
33.393240       13.773240       19.659240
35.355240       11.811240       19.659240
37.317240       13.773240       19.659240
13.773240       17.697240       19.659240
15.735240       15.735240       19.659240
17.697240       17.697240       19.659240
19.659240       15.735240       19.659240
21.621240       17.697240       19.659240
23.583240       15.735240       19.659240
25.545240       17.697240       19.659240
27.507240       15.735240       19.659240
29.469240       17.697240       19.659240
31.431240       15.735240       19.659240
33.393240       17.697240       19.659240
35.355240       15.735240       19.659240
37.317240       17.697240       19.659240
39.279240       15.735240       19.659240
41.241240       17.697240       19.659240
11.811240       19.659240       19.659240
13.773240       21.621240       19.659240
15.735240       19.659240       19.659240
17.697240       21.621240       19.659240
19.659240       19.659240       19.659240
21.621240       21.621240       19.659240
23.583240       19.659240       19.659240
25.545240       21.621240       19.659240
27.507240       19.659240       19.659240
29.469240       21.621240       19.659240
31.431240       19.659240       19.659240
33.393240       21.621240       19.659240
35.355240       19.659240       19.659240
37.317240       21.621240       19.659240
39.279240       19.659240       19.659240
41.241240       21.621240       19.659240
43.203240       19.659240       19.659240
11.811240       23.583240       19.659240
13.773240       25.545240       19.659240
15.735240       23.583240       19.659240
17.697240       25.545240       19.659240
19.659240       23.583240       19.659240
21.621240       25.545240       19.659240
23.583240       23.583240       19.659240
25.545240       25.545240       19.659240
27.507240       23.583240       19.659240
29.469240       25.545240       19.659240
31.431240       23.583240       19.659240
33.393240       25.545240       19.659240
35.355240       23.583240       19.659240
37.317240       25.545240       19.659240
39.279240       23.583240       19.659240
41.241240       25.545240       19.659240
43.203240       23.583240       19.659240
11.811240       27.507240       19.659240
13.773240       29.469240       19.659240
15.735240       27.507240       19.659240
17.697240       29.469240       19.659240
19.659240       27.507240       19.659240
21.621240       29.469240       19.659240
23.583240       27.507240       19.659240
25.545240       29.469240       19.659240
27.507240       27.507240       19.659240
29.469240       29.469240       19.659240
31.431240       27.507240       19.659240
33.393240       29.469240       19.659240
35.355240       27.507240       19.659240
37.317240       29.469240       19.659240
39.279240       27.507240       19.659240
41.241240       29.469240       19.659240
43.203240       27.507240       19.659240
11.811240       31.431240       19.659240
13.773240       33.393240       19.659240
15.735240       31.431240       19.659240
17.697240       33.393240       19.659240
19.659240       31.431240       19.659240
21.621240       33.393240       19.659240
23.583240       31.431240       19.659240
25.545240       33.393240       19.659240
27.507240       31.431240       19.659240
29.469240       33.393240       19.659240
31.431240       31.431240       19.659240
33.393240       33.393240       19.659240
35.355240       31.431240       19.659240
37.317240       33.393240       19.659240
39.279240       31.431240       19.659240
41.241240       33.393240       19.659240
43.203240       31.431240       19.659240
11.811240       35.355240       19.659240
13.773240       37.317240       19.659240
15.735240       35.355240       19.659240
