          617	RD
19.659240       19.659240        3.963240
15.735240       15.735240        7.887240
17.697240       17.697240        7.887240
19.659240       15.735240        7.887240
21.621240       17.697240        7.887240
23.583240       15.735240        7.887240
15.735240       19.659240        7.887240
17.697240       21.621240        7.887240
19.659240       19.659240        7.887240
21.621240       21.621240        7.887240
23.583240       19.659240        7.887240
15.735240       23.583240        7.887240
19.659240       23.583240        7.887240
23.583240       23.583240        7.887240
11.811240       11.811240       11.811240
13.773240       13.773240       11.811240
15.735240       11.811240       11.811240
17.697240       13.773240       11.811240
19.659240       11.811240       11.811240
21.621240       13.773240       11.811240
23.583240       11.811240       11.811240
25.545240       13.773240       11.811240
27.507240       11.811240       11.811240
11.811240       15.735240       11.811240
13.773240       17.697240       11.811240
15.735240       15.735240       11.811240
17.697240       17.697240       11.811240
19.659240       15.735240       11.811240
21.621240       17.697240       11.811240
23.583240       15.735240       11.811240
25.545240       17.697240       11.811240
27.507240       15.735240       11.811240
11.811240       19.659240       11.811240
13.773240       21.621240       11.811240
15.735240       19.659240       11.811240
17.697240       21.621240       11.811240
19.659240       19.659240       11.811240
21.621240       21.621240       11.811240
23.583240       19.659240       11.811240
25.545240       21.621240       11.811240
27.507240       19.659240       11.811240
11.811240       23.583240       11.811240
13.773240       25.545240       11.811240
15.735240       23.583240       11.811240
17.697240       25.545240       11.811240
19.659240       23.583240       11.811240
21.621240       25.545240       11.811240
23.583240       23.583240       11.811240
25.545240       25.545240       11.811240
27.507240       23.583240       11.811240
11.811240       27.507240       11.811240
15.735240       27.507240       11.811240
19.659240       27.507240       11.811240
23.583240       27.507240       11.811240
27.507240       27.507240       11.811240
13.773240        9.849240       15.735240
15.735240        7.887240       15.735240
17.697240        9.849240       15.735240
19.659240        7.887240       15.735240
21.621240        9.849240       15.735240
23.583240        7.887240       15.735240
25.545240        9.849240       15.735240
 9.849240       13.773240       15.735240
11.811240       11.811240       15.735240
13.773240       13.773240       15.735240
15.735240       11.811240       15.735240
17.697240       13.773240       15.735240
19.659240       11.811240       15.735240
21.621240       13.773240       15.735240
23.583240       11.811240       15.735240
25.545240       13.773240       15.735240
27.507240       11.811240       15.735240
29.469240       13.773240       15.735240
 7.887240       15.735240       15.735240
 9.849240       17.697240       15.735240
11.811240       15.735240       15.735240
13.773240       17.697240       15.735240
15.735240       15.735240       15.735240
17.697240       17.697240       15.735240
19.659240       15.735240       15.735240
21.621240       17.697240       15.735240
23.583240       15.735240       15.735240
25.545240       17.697240       15.735240
27.507240       15.735240       15.735240
29.469240       17.697240       15.735240
31.431240       15.735240       15.735240
 7.887240       19.659240       15.735240
 9.849240       21.621240       15.735240
11.811240       19.659240       15.735240
13.773240       21.621240       15.735240
15.735240       19.659240       15.735240
17.697240       21.621240       15.735240
19.659240       19.659240       15.735240
21.621240       21.621240       15.735240
23.583240       19.659240       15.735240
25.545240       21.621240       15.735240
27.507240       19.659240       15.735240
29.469240       21.621240       15.735240
31.431240       19.659240       15.735240
 7.887240       23.583240       15.735240
 9.849240       25.545240       15.735240
11.811240       23.583240       15.735240
13.773240       25.545240       15.735240
15.735240       23.583240       15.735240
17.697240       25.545240       15.735240
19.659240       23.583240       15.735240
21.621240       25.545240       15.735240
23.583240       23.583240       15.735240
25.545240       25.545240       15.735240
27.507240       23.583240       15.735240
29.469240       25.545240       15.735240
31.431240       23.583240       15.735240
11.811240       27.507240       15.735240
13.773240       29.469240       15.735240
15.735240       27.507240       15.735240
17.697240       29.469240       15.735240
19.659240       27.507240       15.735240
21.621240       29.469240       15.735240
23.583240       27.507240       15.735240
25.545240       29.469240       15.735240
27.507240       27.507240       15.735240
15.735240       31.431240       15.735240
19.659240       31.431240       15.735240
23.583240       31.431240       15.735240
17.697240        5.925240       19.659240
19.659240        3.963240       19.659240
21.621240        5.925240       19.659240
13.773240        9.849240       19.659240
15.735240        7.887240       19.659240
17.697240        9.849240       19.659240
19.659240        7.887240       19.659240
21.621240        9.849240       19.659240
23.583240        7.887240       19.659240
25.545240        9.849240       19.659240
 9.849240       13.773240       19.659240
11.811240       11.811240       19.659240
13.773240       13.773240       19.659240
15.735240       11.811240       19.659240
17.697240       13.773240       19.659240
19.659240       11.811240       19.659240
21.621240       13.773240       19.659240
23.583240       11.811240       19.659240
25.545240       13.773240       19.659240
27.507240       11.811240       19.659240
29.469240       13.773240       19.659240
 5.925240       17.697240       19.659240
 7.887240       15.735240       19.659240
 9.849240       17.697240       19.659240
11.811240       15.735240       19.659240
13.773240       17.697240       19.659240
15.735240       15.735240       19.659240
17.697240       17.697240       19.659240
19.659240       15.735240       19.659240
21.621240       17.697240       19.659240
23.583240       15.735240       19.659240
25.545240       17.697240       19.659240
27.507240       15.735240       19.659240
29.469240       17.697240       19.659240
31.431240       15.735240       19.659240
33.393240       17.697240       19.659240
 3.963240       19.659240       19.659240
 5.925240       21.621240       19.659240
 7.887240       19.659240       19.659240
 9.849240       21.621240       19.659240
11.811240       19.659240       19.659240
13.773240       21.621240       19.659240
15.735240       19.659240       19.659240
17.697240       21.621240       19.659240
19.659240       19.659240       19.659240
21.621240       21.621240       19.659240
23.583240       19.659240       19.659240
25.545240       21.621240       19.659240
27.507240       19.659240       19.659240
29.469240       21.621240       19.659240
31.431240       19.659240       19.659240
33.393240       21.621240       19.659240
35.355240       19.659240       19.659240
 7.887240       23.583240       19.659240
 9.849240       25.545240       19.659240
11.811240       23.583240       19.659240
13.773240       25.545240       19.659240
15.735240       23.583240       19.659240
17.697240       25.545240       19.659240
19.659240       23.583240       19.659240
21.621240       25.545240       19.659240
23.583240       23.583240       19.659240
25.545240       25.545240       19.659240
27.507240       23.583240       19.659240
29.469240       25.545240       19.659240
31.431240       23.583240       19.659240
11.811240       27.507240       19.659240
13.773240       29.469240       19.659240
15.735240       27.507240       19.659240
17.697240       29.469240       19.659240
19.659240       27.507240       19.659240
21.621240       29.469240       19.659240
23.583240       27.507240       19.659240
