        6524	IH
36.901686      45.260842      47.469237
39.269203      46.030095      46.032007
39.269203      48.519450      47.469237
36.901686      37.792777      43.157548
36.901686      40.282132      44.594778
39.269203      41.051385      43.157548
39.269203      43.540740      44.594778
39.269203      38.562030      41.720318
36.901686      35.303421      64.715996
39.269203      36.072674      66.153226
40.732410      34.058744      64.715996
38.364892      33.289491      63.278766
39.828098      31.275560      61.841536
42.195616      32.044813      63.278766
43.658822      30.030882      61.841536
41.291305      29.261629      60.404306
42.754511      27.247699      58.967076
45.122028      28.016952      60.404306
46.585235      26.003021      58.967076
44.217717      25.233768      57.529847
45.680923      23.219837      56.092617
48.048441      23.989091      57.529847
49.511647      21.975160      56.092617
47.144130      21.205907      54.655387
48.607336      19.191976      53.218157
50.974853      19.961229      54.655387
52.438060      17.947299      53.218157
50.070542      17.178045      51.780927
41.636721      36.841927      61.841536
44.004238      37.611181      63.278766
45.467444      35.597250      61.841536
36.901686      35.303421      58.967076
39.269203      36.072674      60.404306
40.732410      34.058744      58.967076
43.099927      34.827997      60.404306
44.563133      32.814066      58.967076
46.930651      33.583319      60.404306
48.393857      31.569389      58.967076
38.364892      33.289491      57.529847
39.828098      31.275560      56.092617
42.195616      32.044813      57.529847
43.658822      30.030882      56.092617
46.026340      30.800136      57.529847
47.489546      28.786205      56.092617
49.857063      29.555458      57.529847
51.320270      27.541527      56.092617
41.291305      29.261629      54.655387
42.754511      27.247699      53.218157
45.122028      28.016952      54.655387
46.585235      26.003021      53.218157
48.952752      26.772274      54.655387
50.415958      24.758344      53.218157
52.783476      25.527597      54.655387
54.246682      23.513666      53.218157
44.217717      25.233768      51.780927
45.680923      23.219837      50.343697
48.048441      23.989091      51.780927
49.511647      21.975160      50.343697
51.879165      22.744413      51.780927
47.144130      21.205907      48.906467
46.371756      38.380434      58.967076
48.739273      39.149687      60.404306
50.202479      37.135756      58.967076
41.636721      36.841927      56.092617
44.004238      37.611181      57.529847
45.467444      35.597250      56.092617
47.834962      36.366503      57.529847
49.298168      34.352572      56.092617
51.665686      35.121825      57.529847
53.128892      33.107895      56.092617
36.901686      35.303421      53.218157
39.269203      36.072674      54.655387
40.732410      34.058744      53.218157
43.099927      34.827997      54.655387
44.563133      32.814066      53.218157
46.930651      33.583319      54.655387
48.393857      31.569389      53.218157
50.761374      32.338642      54.655387
52.224581      30.324711      53.218157
54.592098      31.093964      54.655387
56.055304      29.080033      53.218157
38.364892      33.289491      51.780927
39.828098      31.275560      50.343697
42.195616      32.044813      51.780927
43.658822      30.030882      50.343697
46.026340      30.800136      51.780927
47.489546      28.786205      50.343697
49.857063      29.555458      51.780927
51.320270      27.541527      50.343697
53.687787      28.310780      51.780927
41.291305      29.261629      48.906467
42.754511      27.247699      47.469237
45.122028      28.016952      48.906467
46.585235      26.003021      47.469237
48.952752      26.772274      48.906467
44.217717      25.233768      46.032007
51.106791      39.918940      56.092617
53.474308      40.688193      57.529847
