         308	IH
15.928109       3.007343      14.412950
11.538490       7.510629      14.412950
13.001696       7.035204      11.538490
14.464903       5.021274      12.975720
 8.612078       5.021274      12.975720
 8.612078       2.531918      11.538490
 7.707766       3.776596       8.664030
 7.707766       6.265951      10.101260
 6.803455       7.510629       7.226800
 6.803455       5.021274       5.789571
11.538490       4.070425       7.226800
11.538490       1.581069       5.789571
11.538490       9.049135      10.101260
11.538490       6.559780       8.664030
 7.148871       3.007343      14.412950
 6.244560       4.252021      11.538490
 5.340249       5.496698       8.664030
 4.435938       6.741376       5.789571
10.075284       4.545849      10.101260
10.075284       2.056494       8.664030
 9.170973       3.301171       5.789571
10.075284       7.035204      11.538490
 9.170973       8.279882       8.664030
 9.170973       5.790527       7.226800
 5.340249      11.063066      15.850180
 3.877043       9.049135      17.287410
 3.877043       7.510629      14.412950
 5.340249       9.524559      12.975720
 5.340249       7.986053      10.101260
 3.877043       5.972123      11.538490
 7.148871       5.496698      15.850180
 5.685665       3.482767      17.287410
10.075284       9.524559      12.975720
 8.612078       7.510629      14.412950
 2.972731      11.832319      17.287410
 2.972731      10.293813      14.412950
 2.972731       8.755306      11.538490
 2.972731       7.216800       8.664030
 6.244560       8.279882      15.850180
 4.781354       6.265951      17.287410
 4.781354       4.727445      14.412950
 7.707766      10.293813      14.412950
 7.707766       8.755306      11.538490
 6.244560       6.741376      12.975720
 4.435938      12.307743      12.975720
 2.068420      11.538490      11.538490
 2.972731      12.783168       8.664030
 5.340249      13.552421      10.101260
 6.244560      14.797098       7.226800
 3.877043      14.027845       5.789571
 4.435938       9.230731       7.226800
 2.068420       8.461478       5.789571
 9.170973      10.769237      10.101260
 6.803455       9.999984       8.664030
 2.068420      13.076996      14.412950
 2.972731      14.321674      11.538490
 3.877043      15.566351       8.664030
 4.781354      16.811029       5.789571
 4.435938      10.769237      10.101260
 2.068420       9.999984       8.664030
 2.972731      11.244662       5.789571
 6.803455      11.538490      11.538490
 7.707766      12.783168       8.664030
 5.340249      12.013915       7.226800
11.538490      21.495911      17.287410
10.075284      21.020486      14.412950
 8.612078      20.545062      11.538490
 7.148871      20.069637       8.664030
 5.685665      19.594213       5.789571
 9.170973      17.286454      15.850180
 6.803455      18.055707      17.287410
 5.340249      17.580282      14.412950
11.538490      16.517200      14.412950
10.075284      16.041776      11.538490
 7.707766      16.811029      12.975720
 6.244560      16.335604      10.101260
 3.877043      17.104858      11.538490
 8.612078      15.566351       8.664030
 4.435938      13.846249      15.850180
 2.068420      14.615502      17.287410
 9.170973      12.307743      12.975720
 6.803455      13.076996      14.412950
11.538490      11.538490      11.538490
11.538490      19.006556      15.850180
 9.170973      19.775809      17.287410
 7.707766      19.300384      14.412950
10.075284      18.531131      12.975720
 8.612078      18.055707      10.101260
 6.244560      18.824960      11.538490
 4.781354      18.349535       8.664030
 7.148871      17.580282       7.226800
 6.803455      15.566351      15.850180
 4.435938      16.335604      17.287410
 2.972731      15.860180      14.412950
11.538490      14.027845      12.975720
 9.170973      14.797098      14.412950
 7.707766      14.321674      11.538490
 5.340249      15.090927      12.975720
